日期,股票代號,股票名稱,開盤價,最高價,最低價,收盤價,成交股數(股),成交金額(元),成交筆數(筆),外資買賣超(張),投信買賣超(張),自營商買賣超(張),合計買賣超(張),估算買賣超金額(萬元),融資買進(張),融資賣出(張),融資現金償還(張),融資前日餘額(張),融資餘額(張),融券買進(張),融券賣出(張),融券現券償還(張),融券前日餘額(張),融券餘額(張),資券互抵(張)
2026-08-04,2317,鴻海,249.0,254.5,246.0,250.0,41095656,10291326035,40377,2130,0,-521,-1105,-27625.0,1191,1093,24,50550,50624,48,15,1,342,308,4
2026-08-04,006208,富邦台50,230.25,234.0,228.4,230.15,2389289,550302864,10172,-198,0,0,-213,-4902.2,7,28,0,434,413,0,0,0,2,2,0
2026-08-04,2330,台積電,2335.0,2360.0,2310.0,2320.0,41021199,95455231293,277787,-12430,0,433,-2327,-539864.0,1391,594,35,30003,30765,51,4,7,101,47,1
2026-08-04,0050,元大台灣50,100.65,102.25,99.75,100.65,121774200,12269605488,146200,8554,0,8878,-42212,-424863.78,1708,3375,29,31491,29795,73,95,0,909,931,32
2026-08-03,2317,鴻海,244.5,254.0,242.5,253.0,52666207,13128239101,43086,10136,0,213,-1209,-30587.7,1460,1747,27,50864,50550,58,78,0,322,342,29
2026-08-03,006208,富邦台50,232.0,235.05,231.0,232.9,3788626,882862147,12676,333,0,26,-2097,-48839.13,15,54,0,473,434,0,0,0,2,2,5
2026-08-03,2330,台積電,2390.0,2395.0,2365.0,2370.0,35209944,83673350698,174489,-9717,0,387,-1588,-376356.0,1460,722,24,29289,30003,37,14,0,124,101,0
2026-08-03,0050,元大台灣50,102.0,102.7,101.0,102.0,169497151,17265510345,148697,55359,0,4604,-82997,-846569.4,1809,3973,21,33676,31491,205,276,2,840,909,77
2026-07-31,0050,元大台灣50,100.0,102.85,99.8,102.85,345660955,35123786635,201929,84169,0,2262,5409,55631.57,6158,6386,70,33974,33676,149,404,0,585,840,338
2026-07-31,2317,鴻海,245.0,252.0,242.5,250.5,99413798,24664339053,79109,49858,0,3505,3014,75500.7,1890,3635,52,52661,50864,96,136,0,282,322,12
2026-07-31,2330,台積電,2350.0,2425.0,2345.0,2425.0,69478145,166661984712,215037,13780,0,7063,2724,660570.0,1340,2674,41,30664,29289,7,25,24,130,124,15
2026-07-31,006208,富邦台50,229.25,235.8,229.2,235.35,6506625,1517339102,11438,387,0,0,1396,32854.86,42,41,0,472,473,0,1,0,1,2,0
2026-07-30,006208,富邦台50,212.95,219.45,210.7,214.4,4730770,1019775996,14676,-427,0,0,-450,-9648.0,35,3,14,454,472,0,0,0,1,1,0
2026-07-30,2330,台積電,2205.0,2260.0,2190.0,2205.0,51372177,114098819878,177492,-3958,0,939,1637,360958.5,1013,1170,11,30832,30664,123,23,0,230,130,17
2026-07-30,2317,鴻海,236.0,237.5,226.5,229.5,77132664,17818235582,84798,-33609,0,307,760,17442.0,2049,1315,56,51983,52661,145,137,0,290,282,22
2026-07-30,0050,元大台灣50,93.4,96.0,92.0,93.5,297963128,28012249404,327916,-60530,0,5793,-66343,-620307.05,6832,1988,160,29290,33974,134,461,0,258,585,132
2026-07-29,2317,鴻海,240.0,246.5,231.0,237.0,84937463,20205542596,71078,-1316,0,1094,2249,53301.3,2065,2050,56,52024,51983,75,135,0,230,290,43
2026-07-29,006208,富邦台50,222.15,222.25,210.2,214.05,10499938,2254288130,49281,-1214,0,23,-2100,-44950.5,40,15,0,429,454,0,0,0,1,1,0
2026-07-29,2330,台積電,2260.0,2280.0,2180.0,2200.0,68139691,151551634905,675528,-11211,0,1652,4893,1076460.0,1629,2207,117,31527,30832,34,151,0,113,230,8
2026-07-29,0050,元大台灣50,96.95,97.0,91.8,93.7,546282926,51279482077,956082,-104924,0,6350,-196852,-1844503.24,8234,1787,22,22865,29290,97,191,0,164,258,165
2026-07-28,006208,富邦台50,225.0,225.45,222.0,222.1,8251988,1844087813,44170,-2217,0,0,-2737,-60788.77,22,6,0,413,429,0,0,0,1,1,0
2026-07-28,2330,台積電,2270.0,2305.0,2270.0,2280.0,45333029,103624205064,463044,-14660,0,284,5123,1168044.0,809,1152,36,31906,31527,5,54,0,64,113,3
2026-07-28,2317,鴻海,246.0,247.0,238.0,238.0,52860433,12780302040,61879,-20087,0,1194,1853,44101.4,1622,2572,63,53037,52024,105,54,0,281,230,12
2026-07-28,0050,元大台灣50,98.35,98.35,96.9,97.15,469130535,45782587206,916358,-148154,0,3600,-208888,-2029346.92,4283,700,94,19376,22865,241,111,0,294,164,105
2026-07-27,2317,鴻海,253.0,254.5,246.0,253.0,35908207,8967672916,32663,522,0,737,655,16571.5,1376,2045,5,53711,53037,93,29,0,345,281,8
2026-07-27,2330,台積電,2330.0,2365.0,2330.0,2350.0,28939466,67885214772,92753,-2662,0,566,1410,331350.0,504,490,23,31915,31906,4,2,1,67,64,5
2026-07-27,006208,富邦台50,232.2,232.9,229.15,232.75,3038744,702423839,12715,-142,0,15,-1169,-27208.47,7,2,0,408,413,1,0,0,2,1,0
2026-07-27,0050,元大台灣50,101.3,101.6,100.05,101.45,109612623,11048530094,158222,-4723,0,0,-32490,-329611.05,1197,7345,6943,32467,19376,14,112,0,196,294,26
2026-07-24,006208,富邦台50,234.6,235.65,232.05,233.0,1940143,453138069,14786,-463,0,14,-423,-9855.9,21,2,2,391,408,1,0,0,3,2,0
2026-07-24,2317,鴻海,254.0,256.0,251.5,252.5,33694573,8518599943,32769,-5515,0,75,-534,-13483.5,1759,2460,36,54448,53711,53,31,1,368,345,4
2026-07-24,2330,台積電,2355.0,2365.0,2345.0,2350.0,24810509,58407263735,195859,-9637,0,549,305,71675.0,797,454,360,31932,31915,20,5,0,82,67,0
2026-07-24,0050,元大台灣50,102.55,103.05,101.3,101.7,105138918,10708319061,192582,-37394,0,1000,119,1210.23,1272,17588,7,48790,32467,49,139,1,107,196,21
2026-07-23,2317,鴻海,256.5,259.5,253.5,257.5,63787974,16358184879,53611,23754,0,559,639,16454.25,1679,1908,14,54691,54448,10,70,0,308,368,39
2026-07-23,006208,富邦台50,238.3,239.75,235.55,237.9,1790499,424156945,6739,-377,0,0,255,6066.45,2,6,4,399,391,0,2,0,1,3,0
2026-07-23,2330,台積電,2385.0,2405.0,2370.0,2405.0,28001492,66833713878,142112,-4615,0,-944,38,9139.0,551,477,70,31928,31932,30,13,0,99,82,0
2026-07-23,0050,元大台灣50,104.25,104.8,102.9,103.9,54786484,5669961359,77048,-13976,0,2514,5712,59347.68,1341,1379,65,48893,48790,219,49,1,278,107,20
2026-07-22,2317,鴻海,249.0,259.0,248.0,251.5,67787081,17204588878,57938,17679,0,660,-179,-4501.85,1751,2667,12,55619,54691,19,53,0,274,308,39
2026-07-22,0050,元大台灣50,104.5,104.8,103.3,103.85,107935092,11230695541,91862,23625,0,1801,-9196,-95500.46,573,9207,103,57630,48893,10,240,0,48,278,109
2026-07-22,006208,富邦台50,239.1,240.1,236.35,237.4,2655500,632495935,7631,337,0,14,313,7430.62,7,21,0,413,399,0,0,0,1,1,0
2026-07-22,2330,台積電,2440.0,2445.0,2385.0,2400.0,31653123,76206482625,136194,-3539,0,1562,-1060,-254400.0,855,662,88,31823,31928,4,5,0,98,99,3
2026-07-21,2317,鴻海,238.0,247.0,236.5,246.0,51471036,12544250590,47986,22635,0,2099,2231,54882.6,980,2141,14,56794,55619,7,124,0,157,274,9
2026-07-21,2330,台積電,2350.0,2410.0,2345.0,2410.0,31605663,75429747048,88066,4975,0,973,213,51333.0,602,1267,60,32548,31823,35,12,2,123,98,1
2026-07-21,006208,富邦台50,228.1,234.55,228.1,234.55,3104429,721278984,7954,-404,0,3,764,17919.62,4,13,0,422,413,0,1,0,0,1,0
2026-07-21,0050,元大台灣50,100.0,102.5,99.85,102.5,95733411,9713623408,98375,-4227,0,3248,-2496,-25584.0,1034,2616,18,59230,57630,0,48,0,0,48,97
2026-07-20,2330,台積電,2300.0,2345.0,2300.0,2320.0,55790346,129815956839,188463,-1673,0,1048,4625,1073000.0,931,1667,89,33373,32548,9,51,0,81,123,6
2026-07-20,2317,鴻海,235.5,238.5,230.5,234.5,48579978,11422510146,37763,60,0,449,3411,79987.95,1070,1290,51,57065,56794,122,35,0,244,157,10
2026-07-20,006208,富邦台50,228.55,228.95,224.05,226.0,7475916,1697529636,26484,-1247,0,0,-780,-17628.0,15,8,2,417,422,0,0,0,0,0,2
2026-07-20,0050,元大台灣50,100.2,100.6,98.3,99.2,373784717,37210773781,566640,-97369,0,3000,-137270,-1361718.4,41876,976,3,18333,59230,0,0,0,0,0,0
2026-07-17,2317,鴻海,238.0,241.5,233.0,234.0,69006897,16280738874,59544,-4269,0,-696,2133,49912.2,1484,1580,35,57196,57065,84,117,1,212,244,3
2026-07-17,006208,富邦台50,236.65,236.9,227.6,227.75,12203111,2823845337,78783,-664,0,23,-8048,-183293.2,40,10,0,387,417,0,0,0,0,0,13
2026-07-17,2330,台積電,2375.0,2395.0,2290.0,2290.0,97362670,229051751965,1150086,-44184,0,1488,2759,631811.0,2867,2228,184,32918,33373,21,64,0,38,81,2
2026-07-17,0050,元大台灣50,102.9,103.05,100.0,100.15,520545951,52822527292,1101380,-222199,0,2776,-197591,-1978873.87,4510,2218,7,16048,18333,0,0,0,0,0,0
2026-07-16,2317,鴻海,240.5,244.0,238.0,242.5,39074704,9439036151,30798,6698,0,-1057,1344,32592.0,984,942,27,57181,57196,54,59,0,207,212,6
2026-07-16,006208,富邦台50,240.6,243.5,238.5,242.5,4542882,1093028646,15268,-18,0,0,-1945,-47166.25,24,5,0,368,387,0,0,0,0,0,1
2026-07-16,2330,台積電,2430.0,2470.0,2420.0,2470.0,30538604,74750491934,97957,-4215,0,528,1061,262067.0,1069,867,577,33293,32918,0,19,0,19,38,5
2026-07-16,0050,元大台灣50,105.35,106.75,104.55,106.4,73088988,7719935035,97721,-22402,0,3435,-1145,-12182.8,1270,518,11,15307,16048,0,0,1,1,0,0
2026-07-15,0050,元大台灣50,105.3,106.45,104.65,106.3,110911495,11736286480,86260,34254,0,4925,5787,61515.81,846,775,92,15328,15307,526,0,3,530,1,0
2026-07-15,2317,鴻海,236.0,241.0,235.5,239.0,36108846,8631497928,29220,6880,0,-890,402,9607.8,804,780,30,57187,57181,4,58,0,153,207,3
2026-07-15,006208,富邦台50,243.25,246.8,242.8,246.6,3600479,883724697,10339,-34,0,0,336,8285.76,31,18,2,357,368,0,0,0,0,0,0
2026-07-15,2330,台積電,2425.0,2460.0,2415.0,2440.0,33665566,82213791038,79059,-3428,0,-597,455,111020.0,744,524,114,33187,33293,41,0,0,60,19,0
2026-07-14,2317,鴻海,236.0,237.0,230.0,235.5,48112076,11224964857,49604,-7039,0,1224,1528,35984.4,1116,914,47,57032,57187,29,82,0,100,153,7
2026-07-14,006208,富邦台50,245.1,245.1,237.6,242.8,9558169,2300024765,44342,141,0,0,-5348,-129849.44,49,5,0,313,357,0,0,1,1,0,0
2026-07-14,2330,台積電,2410.0,2430.0,2390.0,2420.0,42857055,103370532441,275423,-12417,0,1841,2569,621698.0,1099,760,27,32875,33187,2,14,0,48,60,1
2026-07-14,0050,元大台灣50,105.5,105.5,102.25,104.4,259927533,26920178727,522719,-92603,0,5804,-76714,-800894.16,2653,330,8,13013,15328,434,97,1,868,530,41
2026-07-13,2330,台積電,2460.0,2480.0,2440.0,2440.0,35310380,86697387632,94215,-2045,0,530,622,151768.0,860,1019,27,33061,32875,24,1,0,71,48,0
2026-07-13,006208,富邦台50,248.0,249.7,245.65,246.75,4179797,1034385794,14389,-268,0,0,-1192,-29412.6,7,11,0,317,313,14,0,0,15,1,0
2026-07-13,2317,鴻海,242.0,242.5,236.5,236.5,37504587,8964234781,30781,-1180,0,92,-513,-12132.45,722,707,11,57028,57032,46,23,0,123,100,5
2026-07-13,0050,元大台灣50,107.0,107.55,105.7,106.0,71523037,7623449944,122095,-19098,0,838,-6007,-63674.2,359,648,4,13306,13013,115,41,0,942,868,4
2026-07-09,2317,鴻海,238.0,240.0,234.5,237.5,40528079,9629944166,34038,5743,0,-38,-121,-2873.75,324,476,32,57212,57028,6,75,0,54,123,4
2026-07-09,006208,富邦台50,246.5,248.2,245.0,245.7,3431410,846040383,9339,-140,0,0,-942,-23144.94,9,13,0,321,317,0,0,0,15,15,0
2026-07-09,2330,台積電,2450.0,2460.0,2415.0,2415.0,34681018,84397735035,201698,-12749,0,43,89,21493.5,1064,272,14,32283,33061,14,0,0,85,71,0
2026-07-09,0050,元大台灣50,106.35,107.0,105.45,105.8,56650627,6014937416,94234,-9035,0,2875,-12709,-134461.22,282,375,12,13411,13306,48,22,0,968,942,14
2026-07-08,2317,鴻海,240.0,240.5,234.0,237.5,37939126,8963064431,39828,-692,0,1152,69,1638.75,846,619,16,57001,57212,17,15,0,56,54,5
2026-07-08,006208,富邦台50,247.05,247.75,243.85,246.15,3472764,853423526,14879,-296,0,0,-1527,-37587.1,7,2,0,316,321,1,0,0,16,15,0
2026-07-08,2330,台積電,2445.0,2465.0,2420.0,2465.0,25519599,62400639776,94688,-4156,0,729,468,115362.0,807,829,237,32542,32283,8,4,0,89,85,0
2026-07-08,0050,元大台灣50,106.4,106.6,105.05,106.05,96508356,10207933035,163316,-28291,0,7420,-19776,-209724.48,632,293,3,13075,13411,80,33,4,1019,968,15
2026-07-07,2330,台積電,2480.0,2500.0,2440.0,2440.0,31400854,77617188273,132943,83,0,538,-238,-58072.0,679,2231,17,34111,32542,0,28,0,61,89,0
2026-07-07,006208,富邦台50,251.6,253.15,246.05,246.5,5087336,1266173811,22832,-1073,0,0,-965,-23787.25,28,19,0,307,316,0,0,0,16,16,0
2026-07-07,2317,鴻海,243.0,243.0,236.0,237.0,51778760,12365371472,67545,-17934,0,1754,-417,-9882.9,1742,1098,53,56410,57001,78,28,0,106,56,13
2026-07-07,0050,元大台灣50,108.55,109.05,105.85,106.2,124629074,13347653985,235518,-40070,0,970,-13562,-144028.44,991,947,7,13038,13075,73,17,2,1077,1019,22
2026-07-06,2330,台積電,2465.0,2500.0,2455.0,2460.0,21041918,52022654454,80246,-242,0,379,119,29274.0,710,770,338,34509,34111,1,31,0,31,61,0
2026-07-06,006208,富邦台50,252.95,254.05,250.4,251.35,4129918,1042850904,13629,-241,0,0,-1321,-33203.33,10,48,0,345,307,0,0,0,16,16,0
2026-07-06,2317,鴻海,243.5,247.5,240.5,242.0,43693584,10638459575,44070,-8471,0,2269,-271,-6558.2,1069,1766,23,57130,56410,6,72,0,40,106,2
2026-07-06,0050,元大台灣50,109.05,109.6,107.7,108.25,75784190,8237066196,115863,-12553,0,0,-9703,-105034.98,351,503,25,13215,13038,23,26,0,1074,1077,35
2026-07-03,2317,鴻海,237.0,241.0,236.0,240.5,51008242,12190174057,49831,586,0,1103,912,21933.6,1177,1191,20,57164,57130,4,20,0,24,40,80
2026-07-03,006208,富邦台50,246.05,252.2,245.95,251.35,3068760,765090531,12930,-244,0,0,-887,-22294.74,19,8,0,334,345,0,0,0,16,16,6
2026-07-03,2330,台積電,2415.0,2465.0,2415.0,2445.0,32905868,80082636340,154750,-12537,0,820,652,159414.0,1310,264,50,33513,34509,32,0,0,63,31,6
2026-07-03,0050,元大台灣50,106.15,108.8,106.1,108.35,82436126,8857083457,108187,-19987,0,2800,-18033,-195387.55,547,314,3,12985,13215,121,78,1,1118,1074,56
2026-07-02,006208,富邦台50,249.0,252.45,248.0,252.3,3146588,788238278,14952,-195,0,0,-890,-22454.7,54,26,0,306,334,0,0,0,16,16,0
2026-07-02,2330,台積電,2450.0,2480.0,2445.0,2465.0,35919290,88369879773,132697,-12254,0,1025,216,53244.0,1552,460,12,32433,33513,10,6,0,67,63,2
2026-07-02,0050,元大台灣50,107.2,108.95,106.9,108.8,73421155,7929812970,108165,-17772,0,1980,-7711,-83895.68,759,383,1,12610,12985,67,100,0,1085,1118,18
2026-07-02,2317,鴻海,239.0,243.0,238.0,239.0,67897136,16295091341,78740,-25248,0,1555,-3625,-86637.5,3447,1125,69,54911,57164,0,24,0,0,24,74
2026-07-01,0050,元大台灣50,109.8,109.95,108.6,109.35,76131395,8327320323,86153,8681,0,6383,4240,46364.4,1063,1191,10,12748,12610,31,53,0,1063,1085,52
2026-07-01,2330,台積電,2495.0,2505.0,2475.0,2505.0,37544470,93600076825,111091,7399,0,4742,-387,-96943.5,1483,2192,163,33305,32433,0,45,0,22,67,0
2026-07-01,006208,富邦台50,254.2,254.6,252.0,253.65,2960996,750714018,10326,-486,0,0,483,12251.3,3,31,0,334,306,1,0,0,17,16,0
2026-07-01,2317,鴻海,255.0,255.5,248.0,248.0,65880617,16492926865,70335,-22391,0,-1297,146,3620.8,2459,969,75,53496,54911,0,0,0,0,0,0
2026-06-30,0050,元大台灣50,106.85,108.25,106.75,107.8,107704452,11603335756,86511,20819,0,5350,6327,68205.06,966,1324,11,13117,12748,322,100,0,1285,1063,68
2026-06-30,006208,富邦台50,247.9,250.7,247.55,250.2,3232314,806943725,8496,1016,0,0,612,15312.24,36,23,0,321,334,5,0,0,22,17,0
2026-06-30,2317,鴻海,251.5,255.5,249.0,251.0,52952173,13366226688,39123,-764,0,-833,1415,35516.5,2334,1169,23,52354,53496,0,0,0,0,0,0
2026-06-30,2330,台積電,2440.0,2475.0,2410.0,2410.0,49540227,120516271220,104582,-1426,0,-90,652,157132.0,3227,1384,24,31486,33305,2,3,0,21,22,1
2026-06-29,006208,富邦台50,240.0,244.6,239.85,242.75,4193429,1015729672,8560,174,0,0,158,3835.45,18,6,0,309,321,3,0,0,25,22,0
2026-06-29,2330,台積電,2330.0,2395.0,2330.0,2370.0,38133782,90337385683,93276,-1913,0,919,996,236052.0,925,479,175,31215,31486,26,4,0,43,21,1
2026-06-29,0050,元大台灣50,103.35,105.35,103.3,104.45,106661221,11134777810,101519,-21650,0,6270,-2320,-24232.4,548,532,2,13103,13117,28,84,0,1229,1285,61
2026-06-29,2317,鴻海,250.0,252.0,246.0,246.5,49210311,12235300546,55602,-20345,0,1866,333,8208.45,4104,752,35,49037,52354,0,0,20,20,0,0
2026-06-26,006208,富邦台50,244.4,245.0,238.1,238.7,10067619,2431002670,39362,-2456,0,0,-1687,-40268.69,46,3,0,266,309,2,8,0,19,25,0
2026-06-26,2330,台積電,2360.0,2370.0,2325.0,2340.0,53800344,126177715258,464927,-14282,0,734,1009,236106.0,837,1476,42,31896,31215,6,3,0,46,43,3
2026-06-26,2317,鴻海,255.5,255.5,248.0,248.5,80450955,20204165523,101402,-30328,0,1670,-570,-14164.5,2218,1870,32,48721,49037,140,0,1,161,20,0
2026-06-26,0050,元大台灣50,105.4,105.85,102.8,103.1,291814760,30384280200,602284,-130306,0,4900,-71339,-735505.09,1802,1821,2,13124,13103,97,63,2,1265,1229,65
2026-06-25,006208,富邦台50,250.0,250.0,246.3,248.1,2873708,713255020,8902,-35,0,0,46,1141.26,2,3,0,267,266,1,2,0,18,19,0
2026-06-25,2317,鴻海,260.5,262.5,257.5,257.5,43578494,11325940448,40020,-2632,0,1167,393,10119.75,1361,785,23,48168,48721,77,2,88,324,161,8
2026-06-25,2330,台積電,2410.0,2420.0,2390.0,2390.0,41099957,98673938497,132387,-6104,0,179,-311,-74329.0,1335,565,22,31148,31896,1,2,0,45,46,0
2026-06-25,0050,元大台灣50,108.0,108.05,106.35,107.2,96345582,10328992361,129343,-23491,0,2150,-5294,-56751.68,1113,598,4,12613,13124,65,274,0,1056,1265,56
2026-06-24,006208,富邦台50,249.65,249.65,245.9,247.95,5338043,1323168756,27596,-144,0,0,-2198,-54499.41,78,3,0,192,267,0,0,0,18,18,0
2026-06-24,2317,鴻海,255.0,261.0,255.0,256.0,63690545,16380115615,67704,-11992,0,146,-62,-1587.2,1656,674,24,47210,48168,72,35,4,365,324,9
2026-06-24,2330,台積電,2435.0,2445.0,2390.0,2390.0,67304477,162505741547,527599,-38451,0,657,1078,257642.0,4125,1004,12,28039,31148,40,1,0,84,45,5
2026-06-24,0050,元大台灣50,108.0,108.1,106.15,107.15,235939737,25256473313,420543,-126207,0,1100,-37037,-396851.46,1967,953,7,11606,12613,193,28,0,1221,1056,68
2026-06-23,006208,富邦台50,258.1,260.1,254.35,254.35,4700440,1209297272,13425,-370,0,0,-112,-2848.72,4,8,0,196,192,2,0,0,20,18,0
2026-06-23,2330,台積電,2510.0,2535.0,2490.0,2490.0,39537895,99064704659,148609,-2727,0,165,1192,296808.0,1159,1266,77,28223,28039,4,4,0,84,84,1
2026-06-23,2317,鴻海,270.0,270.5,259.0,259.5,92063800,24189817018,112205,-32412,0,151,-924,-23977.8,2412,2145,110,47053,47210,130,21,0,474,365,6
2026-06-23,0050,元大台灣50,112.0,112.3,110.05,110.1,130786727,14517633269,178179,-27631,0,1000,-18222,-200624.22,708,1008,28,11934,11606,84,82,1,1224,1221,27
2026-06-22,0050,元大台灣50,109.45,111.2,109.45,111.15,116042256,12844178985,120547,878,0,3497,11765,130767.98,1618,1161,9,11486,11934,116,133,6,1213,1224,17
2026-06-22,2330,台積電,2455.0,2510.0,2455.0,2510.0,45207883,112735082698,159770,14361,0,-202,1145,287395.0,2286,2080,16,28033,28223,13,39,0,58,84,1
2026-06-22,006208,富邦台50,253.0,258.2,253.0,257.45,5127921,1316863745,13828,1263,0,0,823,21188.13,2,25,0,219,196,2,0,0,22,20,0
2026-06-22,2317,鴻海,270.0,275.5,268.5,268.5,67145972,18191564426,62768,-14848,0,464,559,15009.15,2639,1530,14,45958,47053,94,6,0,562,474,5
2026-06-18,0050,元大台灣50,107.0,107.45,106.65,107.3,78557448,8411642386,85158,14338,0,2200,-847,-9088.31,858,1046,5,11679,11486,49,54,2,1210,1213,59
2026-06-18,006208,富邦台50,247.95,249.1,246.95,249.1,4099902,1018182742,9047,1229,0,0,-4,-99.64,6,9,0,222,219,0,0,0,22,22,0
2026-06-18,2330,台積電,2395.0,2415.0,2385.0,2410.0,49982610,120198889493,103190,7515,0,-7269,36,8676.0,893,903,38,28081,28033,7,10,1,56,58,0
2026-06-18,2317,鴻海,270.5,271.5,268.5,268.5,68996866,18605623168,53509,-25475,0,-3496,-409,-10981.65,1880,708,57,44843,45958,36,4,1,595,562,2
2026-06-17,006208,富邦台50,243.35,246.3,242.15,246.3,4877303,1189741621,10497,-785,0,166,522,12856.86,3,4,0,223,222,5,0,0,27,22,0
2026-06-17,2330,台積電,2355.0,2385.0,2350.0,2385.0,30059393,71151958866,143625,-6877,0,-318,895,213457.5,1051,406,35,27470,28080,6,1,0,61,56,2
2026-06-17,2317,鴻海,266.0,272.0,264.0,272.0,42755242,11510771202,44766,-7230,0,-596,-586,-15939.2,1206,1106,47,44679,44732,175,27,0,742,594,10
2026-06-17,0050,元大台灣50,105.0,106.0,104.5,106.0,100331952,10557198519,97971,3116,0,4700,-17373,-184153.8,852,541,6,11443,11748,78,72,0,1216,1210,24
2026-06-16,0050,元大台灣50,106.05,106.05,104.85,105.9,70824506,7474877454,85915,6189,0,4000,3912,41428.08,1261,900,9,11091,11443,32,92,0,1156,1216,28
2026-06-16,2317,鴻海,270.0,271.0,265.5,269.0,56878574,15292916716,40470,9643,0,-530,33,887.7,1115,1564,57,45185,44679,19,155,0,606,742,9
2026-06-16,2330,台積電,2375.0,2400.0,2350.0,2400.0,37145708,88421095704,99659,-383,0,3848,-158,-37920.0,679,773,29,27593,27470,1,41,0,21,61,23
2026-06-16,006208,富邦台50,245.0,245.75,243.45,245.35,3308542,809548876,9115,459,0,0,733,17984.15,4,21,0,240,223,0,0,0,27,27,0
2026-06-15,0050,元大台灣50,105.1,105.5,104.3,105.25,100402843,10546933582,105092,17368,0,5400,7031,74001.27,728,1047,28,11438,11091,52,97,1,1112,1156,214
2026-06-15,2330,台積電,2360.0,2375.0,2345.0,2375.0,30228535,71454258620,96307,9646,0,85,107,25412.5,1269,1038,59,27421,27593,1,9,0,13,21,1
2026-06-15,2317,鴻海,271.0,272.5,265.0,267.5,54689024,14654327677,47325,8633,0,12,622,16638.5,978,1558,30,45795,45185,50,36,0,620,606,10
2026-06-15,006208,富邦台50,243.7,244.35,241.55,244.1,6855195,1669923914,11428,2091,0,-20,-171,-4174.11,10,16,0,246,240,0,0,0,27,27,0
2026-06-12,0050,元大台灣50,103.25,103.75,101.55,101.95,76563613,7836572620,77668,5759,0,4830,5552,56602.64,648,1587,6,12383,11438,116,53,1,1176,1112,21
2026-06-12,2330,台積電,2325.0,2325.0,2290.0,2310.0,26306885,60666936905,77219,3927,0,-150,-181,-41811.0,840,867,22,27470,27421,7,9,0,11,13,39
2026-06-12,2317,鴻海,266.5,269.0,260.0,260.5,60260948,15902363857,56015,1952,0,114,301,7841.05,1573,1407,72,45701,45795,25,63,0,582,620,11
2026-06-12,006208,富邦台50,238.6,238.95,235.6,236.1,2780671,658390784,7542,5,0,250,661,15606.21,7,29,0,268,246,2,0,0,29,27,0
2026-06-11,006208,富邦台50,231.0,232.95,226.45,231.0,6354885,1457963262,21734,20,0,0,-877,-20258.7,11,7,0,264,268,0,0,0,29,29,0
2026-06-11,2330,台積電,2240.0,2260.0,2210.0,2250.0,46417523,104091484739,320151,-4905,0,612,2909,654525.0,838,1510,26,28168,27470,0,11,0,0,11,41
2026-06-11,2317,鴻海,260.0,262.5,251.5,258.5,97550509,25053452346,102097,-8584,0,749,920,23782.0,2440,2349,102,45712,45701,120,43,0,659,582,48
